Passenger_ID,Arrival_Time,Ticket_Type,Counter_Wait_Min,Counter_Service_Min,Gate_Wait_Min,Gate_Service_Min,Boarding_Wait_Min,Total_Time_Min
P040,07:12:07,Normal,0.29,0.32,1.24,0.34,3.17,5.36
P041,07:12:20,Online,0.0,0.0,0.05,0.12,1.99,2.16
P042,07:12:50,Online,0.0,0.0,0.05,0.55,1.0,1.6
P043,07:12:58,Online,0.0,0.0,0.17,0.49,3.47,4.12
P044,07:13:00,Online,0.0,0.0,0.63,0.66,1.0,2.28
P045,07:13:09,Normal,0.0,1.79,0.35,0.08,1.0,3.22
P046,07:13:23,Normal,0.0,1.02,1.7,0.26,8.63,11.61
P047,07:13:50,Online,0.0,0.0,0.69,0.05,1.0,1.74
P048,07:13:51,Online,0.0,0.0,0.89,0.79,4.29,5.97
P049,07:14:23,Online,0.0,0.0,0.3,0.49,2.7,3.5
P050,07:14:31,Normal,0.0,0.42,0.31,0.05,4.96,5.74
P051,07:15:16,Online,0.0,0.0,0.05,0.05,1.96,2.06
P052,07:15:17,Online,0.0,0.0,0.57,0.39,8.92,9.87
P053,07:15:24,Normal,0.0,1.6,0.05,0.06,4.14,5.85
P054,07:15:52,Normal,0.0,0.01,0.22,2.04,1.0,3.27
P055,07:16:06,Online,0.0,0.0,0.88,0.05,9.31,10.24
P056,07:17:46,Online,0.0,0.0,0.1,0.36,3.71,4.16
P057,07:18:20,Normal,0.0,2.09,0.87,0.37,7.82,11.15
P058,07:18:32,Online,0.0,0.0,0.18,0.15,2.07,2.4
P059,07:18:34,Online,0.0,0.0,0.14,0.07,3.57,3.79
P060,07:18:39,Normal,0.0,2.2,0.15,0.3,2.99,5.65
P061,07:18:53,Online,0.0,0.0,0.05,0.29,11.82,12.15
P062,07:18:55,Online,0.0,0.0,0.15,0.52,8.54,9.22
P063,07:19:36,Normal,0.0,0.17,0.35,0.79,23.04,24.35
P064,07:19:57,Online,0.0,0.0,0.59,0.11,1.0,1.7
P065,07:20:32,Normal,0.0,0.83,0.22,0.39,4.7,6.14
P066,07:21:25,Online,0.0,0.0,0.08,0.37,7.14,7.59
P067,07:21:26,Normal,0.0,0.29,0.81,1.18,1.16,3.44
P068,07:22:17,Online,0.0,0.0,0.37,0.08,7.41,7.86
P069,07:22:49,Online,0.0,0.0,0.24,0.56,7.13,7.93
P070,07:22:50,Normal,0.0,4.75,0.14,0.43,1.0,6.33
P071,07:23:10,Online,0.0,0.0,0.21,1.03,4.16,5.4
P072,07:23:51,Normal,0.0,1.09,0.11,0.05,1.0,2.26
P073,07:24:08,Normal,0.0,0.08,0.36,0.36,1.72,2.52
P074,07:24:25,Online,0.0,0.0,0.35,0.39,9.98,10.73
P075,07:24:30,Online,0.0,0.0,0.35,0.07,1.0,1.41
P076,07:25:08,Normal,0.0,0.43,0.16,0.49,6.07,7.15
P077,07:25:12,Online,0.0,0.0,0.2,0.14,1.61,1.95
P078,07:25:19,Normal,0.0,2.83,0.36,0.47,12.88,16.54
P079,07:25:24,Normal,0.15,0.91,0.93,0.39,5.41,7.8
P080,07:25:34,Online,0.0,0.0,0.05,0.28,1.86,2.19
P081,07:25:38,Online,0.0,0.0,0.21,0.05,8.91,9.17
P082,07:25:42,Normal,0.78,2.42,1.63,0.22,3.93,8.98
P083,07:26:14,Normal,1.37,1.65,0.63,0.96,8.76,13.36
P084,07:26:19,Normal,1.83,6.62,0.05,0.07,1.84,10.41
P085,07:26:25,Normal,2.48,1.36,0.83,0.34,1.7,6.71
P086,07:26:27,Normal,2.8,4.49,0.08,0.47,6.02,13.86
P087,07:26:41,Online,0.0,0.0,0.05,0.8,9.67,10.51
P088,07:26:47,Normal,3.48,3.33,1.72,0.28,3.4,12.21
P089,07:26:57,Normal,6.63,1.42,0.05,0.05,2.83,10.99
P090,07:27:18,Online,0.0,0.0,0.33,0.28,3.11,3.72
P091,07:27:20,Normal,6.4,1.91,0.23,0.12,1.0,9.66
P092,07:27:28,Normal,7.29,1.05,1.96,0.72,4.28,15.31
P093,07:27:29,Normal,7.53,2.66,1.81,3.1,5.58,20.69
P094,07:27:36,Normal,8.04,1.19,0.19,0.05,7.06,16.53
P095,07:27:56,Normal,7.89,3.41,0.38,0.42,12.39,24.49
P096,07:28:13,Online,0.0,0.0,0.28,0.63,11.31,12.22
P097,07:28:33,Normal,8.29,2.04,0.12,0.35,5.04,15.84
P098,07:28:38,Online,0.0,0.0,0.21,0.66,5.28,6.15
P099,07:29:32,Online,0.0,0.0,0.14,0.26,1.0,1.39
P100,07:29:35,Normal,8.09,0.97,0.41,0.05,2.14,11.65
P101,07:29:50,Online,0.0,0.0,0.05,0.05,11.47,11.57
P102,07:29:56,Online,0.0,0.0,0.15,0.5,3.51,4.16
P103,07:29:58,Online,0.0,0.0,0.07,0.11,2.88,3.06
P104,07:30:34,Online,0.0,0.0,0.2,0.3,1.0,1.5
P105,07:31:26,Online,0.0,0.0,0.16,0.13,2.63,2.92
P106,07:31:31,Normal,7.12,0.45,0.24,0.44,9.75,18.01
P107,07:31:36,Normal,7.28,0.43,0.24,0.47,1.7,10.12
P108,07:31:40,Online,0.0,0.0,0.14,0.36,7.78,8.29
P109,07:31:47,Normal,7.31,1.52,1.74,0.67,3.99,15.24
P110,07:31:48,Normal,7.43,2.18,0.36,0.15,1.95,12.07
P111,07:31:49,Online,0.0,0.0,0.36,0.05,1.0,1.41
P112,07:31:49,Online,0.0,0.0,0.4,0.13,6.43,6.96
P113,07:31:51,Online,0.0,0.0,0.37,0.95,10.33,11.65
P114,07:32:01,Normal,7.3,1.11,2.11,0.21,3.61,14.33
P115,07:32:01,Online,0.0,0.0,0.14,0.35,1.0,1.49
P116,07:32:02,Normal,8.38,1.48,2.66,0.43,3.91,16.86
P117,07:32:07,Normal,8.49,0.48,0.32,0.08,2.25,11.62
P118,07:32:40,Online,0.0,0.0,0.15,1.37,5.99,7.52
P119,07:33:00,Normal,8.1,0.12,0.85,0.39,7.14,16.6
P120,07:33:12,Online,0.0,0.0,0.17,0.36,13.9,14.44
P121,07:33:21,Normal,7.87,0.5,0.14,0.32,13.13,21.96
P122,07:33:25,Online,0.0,0.0,0.13,0.19,7.84,8.16
P123,07:33:29,Online,0.0,0.0,0.59,0.44,8.83,9.86
P124,07:34:25,Online,0.0,0.0,0.47,0.46,3.74,4.67
P125,07:34:43,Normal,6.69,0.48,0.35,0.48,1.0,8.99
P126,07:35:28,Online,0.0,0.0,0.36,0.22,2.25,2.83
P127,07:35:36,Online,0.0,0.0,0.16,0.08,1.21,1.44
P128,07:35:48,Normal,5.92,0.58,2.17,0.38,1.37,10.41
P129,07:35:55,Online,0.0,0.0,1.03,0.27,1.28,2.58
P130,07:35:59,Online,0.0,0.0,0.05,0.05,9.3,9.41
P131,07:36:02,Online,0.0,0.0,0.05,0.59,9.01,9.65
P132,07:36:06,Online,0.0,0.0,0.75,0.05,2.05,2.86
P133,07:36:37,Online,0.0,0.0,0.51,0.06,2.36,2.93
P134,07:36:54,Normal,4.99,1.17,0.1,0.32,4.02,10.59
P135,07:36:59,Online,0.0,0.0,0.06,0.71,7.37,8.15
P136,07:37:06,Online,0.0,0.0,0.58,0.07,2.88,3.53
P137,07:37:24,Normal,4.49,0.22,0.06,1.94,12.21,18.92
P138,07:37:38,Online,0.0,0.0,0.19,0.45,1.36,1.99
P139,07:37:40,Online,0.0,0.0,0.21,0.13,6.9,7.24
P140,07:37:45,Normal,4.36,0.39,0.37,0.05,8.92,14.1
P141,07:37:51,Normal,4.45,1.78,0.41,0.5,3.56,10.7
P142,07:37:56,Online,0.0,0.0,0.21,0.31,1.85,2.37
P143,07:38:53,Normal,3.62,1.84,0.19,0.72,19.62,25.99
P144,07:39:23,Online,0.0,0.0,0.58,0.25,9.01,9.84
P145,07:39:37,Online,0.0,0.0,0.16,1.18,20.82,22.15
P146,07:39:51,Online,0.0,0.0,0.22,0.13,2.41,2.75
P147,07:40:23,Normal,2.66,0.1,0.17,0.32,2.42,5.67
P148,07:40:34,Normal,2.58,0.79,1.53,0.28,10.57,15.75
P149,07:40:42,Online,0.0,0.0,0.26,1.36,8.49,10.11
P150,07:40:49,Normal,3.11,1.17,1.2,0.13,7.8,13.41
P151,07:43:42,Online,0.0,0.0,0.57,0.06,1.44,2.06
P152,07:43:46,Normal,0.3,0.81,0.32,1.09,3.54,6.06
P153,07:44:20,Online,0.0,0.0,0.36,0.83,4.04,5.23
P154,07:44:25,Normal,0.0,0.35,1.03,0.13,1.77,3.28
P155,07:45:25,Normal,0.0,0.82,0.53,2.73,3.36,7.44
P156,07:45:28,Online,0.0,0.0,0.05,0.75,9.52,10.32
P157,07:45:32,Normal,0.0,3.53,0.1,0.31,2.12,6.05
P158,07:45:47,Normal,0.0,1.32,0.48,0.31,3.04,5.15
P159,07:46:13,Online,0.0,0.0,0.12,0.58,1.59,2.29
P160,07:47:28,Normal,0.0,1.78,0.23,0.08,5.98,8.08
P161,07:47:29,Online,0.0,0.0,0.82,0.06,2.88,3.77
P162,07:47:55,Normal,0.0,2.91,0.51,0.11,7.47,11.0
P163,07:47:57,Online,0.0,0.0,1.02,0.1,3.0,4.12
P164,07:48:07,Online,0.0,0.0,0.15,0.05,1.0,1.2
P165,07:48:17,Online,0.0,0.0,0.24,0.11,26.04,26.39
P166,07:48:18,Online,0.0,0.0,0.16,0.05,13.36,13.57
P167,07:48:45,Online,0.0,0.0,0.64,0.42,7.84,8.9
P168,07:49:00,Online,0.0,0.0,0.05,0.14,8.85,9.04
P169,07:50:18,Online,0.0,0.0,0.42,0.06,6.11,6.59
P170,07:50:27,Online,0.0,0.0,0.21,0.05,1.0,1.26
P171,07:50:37,Normal,0.0,2.18,0.05,0.55,6.11,8.88
P172,07:50:37,Online,0.0,0.0,0.1,0.72,3.98,4.8
P173,07:50:39,Normal,0.0,0.72,1.0,0.2,5.45,7.36
P174,07:50:45,Online,0.0,0.0,0.45,0.3,1.0,1.75
P175,07:50:46,Normal,0.07,0.01,1.03,1.58,3.42,6.11
P176,07:50:49,Normal,0.02,0.65,0.05,0.28,4.46,5.46
P177,07:50:49,Online,0.0,0.0,0.12,0.14,1.0,1.26
P178,07:51:19,Online,0.0,0.0,0.19,0.63,3.05,3.88
P179,07:51:35,Online,0.0,0.0,0.05,0.94,4.54,5.53
P180,07:51:43,Normal,0.0,2.1,1.22,0.83,2.9,7.05
P181,07:52:08,Online,0.0,0.0,0.05,0.29,1.38,1.72
P182,07:52:10,Normal,0.0,2.88,0.45,0.24,6.41,9.98
P183,07:52:34,Normal,0.23,4.6,0.32,0.43,1.0,6.58
P184,07:53:10,Online,0.0,0.0,0.05,0.22,4.77,5.05
P185,07:53:50,Online,0.0,0.0,0.1,0.22,5.46,5.77
P186,07:54:26,Normal,0.0,0.81,0.38,1.39,2.07,4.65
P187,07:54:36,Online,0.0,0.0,0.05,1.47,1.0,2.52
P188,07:54:59,Online,0.0,0.0,0.26,0.28,22.25,22.8
P189,07:55:03,Normal,0.0,2.06,0.71,0.42,9.54,12.74
P190,07:55:14,Online,0.0,0.0,0.28,0.2,3.18,3.66
P191,07:55:47,Online,0.0,0.0,0.35,1.59,1.46,3.4
P192,07:56:02,Normal,0.0,1.18,1.15,0.78,2.39,5.51
P193,07:56:43,Normal,0.41,1.39,0.23,0.51,7.12,9.65
P194,07:57:02,Normal,0.19,0.37,1.24,0.05,1.0,2.85
P195,07:58:16,Online,0.0,0.0,0.05,0.62,2.11,2.79
P196,07:58:19,Normal,0.0,0.37,0.6,1.01,29.81,31.8
P197,07:58:37,Online,0.0,0.0,0.46,0.4,7.38,8.24
P198,08:00:04,Normal,0.0,0.86,0.82,0.23,1.0,2.91
P199,08:00:20,Online,0.0,0.0,0.47,0.16,1.0,1.63
P200,08:00:38,Normal,0.0,0.04,0.6,0.82,2.93,4.4
P201,08:01:08,Normal,0.0,0.61,0.71,0.93,1.0,3.26
P202,08:01:22,Online,0.0,0.0,0.28,0.67,1.0,1.95
P203,08:02:06,Normal,0.0,1.71,0.95,0.14,2.35,5.15
P204,08:02:44,Online,0.0,0.0,0.53,0.25,5.94,6.72
P205,08:03:29,Normal,0.0,0.78,0.09,0.3,4.17,5.35
P206,08:03:38,Normal,0.0,0.27,0.94,0.07,1.0,2.29
P207,08:04:20,Normal,0.0,0.94,1.23,0.39,1.38,3.94
P208,08:04:20,Online,0.0,0.0,0.35,0.67,1.0,2.02
P209,08:04:26,Normal,0.0,0.2,1.46,0.06,3.09,4.82
P210,08:04:36,Online,0.0,0.0,0.52,0.24,1.74,2.51
P211,08:04:42,Normal,0.0,1.46,0.18,0.12,1.0,2.75
P212,08:04:43,Normal,0.0,0.04,0.98,0.93,5.66,7.61
P213,08:05:03,Online,0.0,0.0,0.05,0.09,1.0,1.14
P214,08:05:23,Normal,0.0,0.75,0.1,0.23,2.12,3.21
P215,08:05:28,Online,0.0,0.0,0.95,0.29,22.61,23.84
P216,08:05:45,Online,0.0,0.0,0.27,0.12,7.0,7.39
P217,08:05:58,Normal,0.0,1.25,0.53,0.41,2.76,4.95
P218,08:06:02,Online,0.0,0.0,0.07,0.18,7.59,7.84
P219,08:06:12,Online,0.0,0.0,0.7,0.16,1.0,1.86
P220,08:06:14,Normal,0.0,0.04,0.17,0.75,1.11,2.07
P221,08:06:23,Online,0.0,0.0,0.16,0.88,6.8,7.84
P222,08:06:41,Online,0.0,0.0,0.79,0.2,18.2,19.18
P223,08:06:50,Normal,0.0,1.54,0.29,0.26,1.35,3.45
P224,08:07:21,Normal,0.0,0.22,0.51,0.34,24.59,25.66
P225,08:08:31,Normal,0.0,0.93,0.21,1.53,5.37,8.03
P226,08:09:11,Online,0.0,0.0,0.24,0.28,12.91,13.42
P227,08:09:16,Normal,0.0,0.08,0.19,0.33,5.79,6.39
P228,08:09:30,Online,0.0,0.0,0.26,0.65,6.49,7.4
P229,08:09:35,Online,0.0,0.0,0.05,0.37,8.64,9.06
P230,08:09:54,Online,0.0,0.0,0.28,0.15,1.0,1.43
P231,08:10:02,Online,0.0,0.0,0.38,0.15,4.61,5.14
P232,08:10:06,Online,0.0,0.0,0.19,0.47,2.17,2.83
P233,08:10:09,Normal,0.0,0.71,0.82,0.05,4.66,6.25
P234,08:10:35,Normal,0.0,0.36,0.41,0.94,1.69,3.39
P235,08:10:42,Normal,0.0,0.59,0.96,0.37,2.17,4.1
P236,08:11:20,Online,0.0,0.0,0.05,0.82,2.17,3.04
P237,08:11:24,Online,0.0,0.0,2.2,0.13,19.57,21.9
P238,08:12:26,Normal,0.0,2.15,0.61,0.39,5.66,8.81
P239,08:12:34,Online,0.0,0.0,1.03,0.05,5.07,6.16
P240,08:12:44,Online,0.0,0.0,0.16,0.65,5.69,6.49
P241,08:13:04,Normal,0.0,0.71,0.77,0.43,9.11,11.02
P242,08:13:05,Normal,0.0,2.09,0.59,0.93,5.2,8.82
P243,08:13:24,Online,0.0,0.0,1.07,0.06,4.68,5.81
P244,08:13:51,Online,0.0,0.0,0.53,0.05,1.0,1.58
P245,08:14:13,Normal,0.0,2.68,0.22,0.23,4.33,7.46
P246,08:14:19,Online,0.0,0.0,0.53,0.18,2.41,3.12
P247,08:14:28,Online,0.0,0.0,0.29,0.37,5.68,6.35
P248,08:15:17,Normal,0.0,0.44,0.79,0.05,1.75,3.03
P249,08:15:43,Normal,0.0,0.13,0.83,0.08,1.0,2.03
P250,08:16:06,Online,0.0,0.0,1.04,0.19,7.2,8.43
P251,08:16:16,Normal,0.0,0.03,0.47,1.42,3.78,5.7
P252,08:16:27,Online,0.0,0.0,0.3,0.3,2.54,3.14
P253,08:16:40,Normal,0.0,1.16,1.47,0.71,1.49,4.83
P254,08:16:43,Normal,0.0,13.94,1.04,0.26,8.21,23.46
P255,08:16:47,Normal,0.1,0.65,0.82,0.17,1.0,2.73
P256,08:16:54,Normal,0.63,1.58,1.98,0.06,16.98,21.22
P257,08:16:58,Online,0.0,0.0,0.37,0.11,1.0,1.48
P258,08:17:45,Normal,0.07,2.28,1.18,0.52,19.55,23.59
P259,08:17:59,Normal,1.13,1.58,2.05,0.65,2.28,7.7
P260,08:17:59,Normal,2.13,2.11,0.94,0.05,3.85,9.07
P261,08:18:28,Online,0.0,0.0,0.47,0.28,2.45,3.19
P262,08:18:33,Online,0.0,0.0,0.29,0.12,1.51,1.92
P263,08:18:39,Normal,2.05,4.48,0.36,0.45,5.58,12.92
P264,08:19:36,Online,0.0,0.0,0.21,2.25,1.68,4.14
P265,08:19:42,Online,0.0,0.0,0.87,0.27,1.0,2.14
P266,08:20:16,Normal,1.94,0.33,0.53,0.69,14.09,17.59
P267,08:20:28,Online,0.0,0.0,0.67,0.24,11.45,12.36
P268,08:20:36,Online,0.0,0.0,0.21,0.05,5.73,5.98
P269,08:20:48,Online,0.0,0.0,0.65,0.15,2.13,2.94
P270,08:21:01,Online,0.0,0.0,0.05,0.31,11.1,11.46
P271,08:21:12,Normal,1.35,0.03,0.07,0.11,1.0,2.56
P272,08:21:16,Online,0.0,0.0,0.67,0.5,13.11,14.27
P273,08:21:48,Normal,0.78,0.25,1.29,0.33,12.34,14.99
P274,08:22:09,Normal,0.68,0.2,0.15,0.05,8.68,9.76
P275,08:23:46,Normal,0.0,1.66,1.44,0.14,2.62,5.87
P276,08:24:25,Online,0.0,0.0,0.36,0.63,3.55,4.54
P277,08:24:32,Normal,0.63,1.25,0.09,1.17,1.81,4.95
P278,08:25:03,Online,0.0,0.0,0.05,0.09,1.0,1.14
P279,08:25:56,Online,0.0,0.0,0.55,0.05,4.04,4.63
P280,08:26:06,Online,0.0,0.0,0.16,0.65,4.01,4.82
P281,08:26:12,Online,0.0,0.0,0.33,0.05,1.85,2.23
P282,08:26:19,Online,0.0,0.0,2.73,0.51,3.73,6.97
P283,08:26:22,Online,0.0,0.0,0.51,0.69,1.0,2.21
P284,08:26:29,Normal,0.0,0.37,0.41,0.05,10.91,11.74
P285,08:27:25,Online,0.0,0.0,1.26,0.41,2.99,4.66
P286,08:27:29,Normal,0.0,1.8,0.09,0.24,5.55,7.68
P287,08:27:29,Online,0.0,0.0,0.4,0.17,10.52,11.08
P288,08:27:34,Normal,0.0,2.18,0.82,1.17,2.72,6.88
P289,08:27:35,Normal,1.71,0.28,0.81,0.07,2.68,5.54
P290,08:28:22,Normal,1.2,1.4,0.06,0.27,2.62,5.55
P291,08:28:23,Online,0.0,0.0,0.53,0.41,1.0,1.94
P292,08:28:56,Online,0.0,0.0,1.19,0.23,12.08,13.49
P293,08:29:02,Online,0.0,0.0,0.05,0.05,1.0,1.1
P294,08:29:45,Online,0.0,0.0,0.06,0.16,6.18,6.4
P295,08:30:13,Online,0.0,0.0,0.15,1.13,11.27,12.55
P296,08:31:16,Normal,0.0,2.07,1.82,0.05,2.31,6.25
P297,08:31:30,Normal,0.0,0.18,0.35,1.2,9.67,11.41
P298,08:31:54,Normal,0.0,2.57,0.06,0.46,3.93,7.02
P299,08:32:32,Online,0.0,0.0,0.65,0.12,5.04,5.81
P300,08:33:07,Normal,0.0,5.02,2.29,0.18,2.54,10.02
P301,08:33:26,Normal,0.0,0.17,0.13,0.05,9.42,9.77
P302,08:33:36,Online,0.0,0.0,0.28,0.05,1.8,2.14
P303,08:34:05,Online,0.0,0.0,0.27,0.28,1.0,1.55
P304,08:34:09,Normal,0.0,0.04,0.36,0.43,5.13,5.97
P305,08:34:29,Online,0.0,0.0,0.99,0.07,5.38,6.44
P306,08:35:02,Normal,0.0,0.56,0.55,0.05,7.73,8.88
P307,08:35:26,Online,0.0,0.0,0.45,0.37,9.24,10.06
P308,08:35:32,Online,0.0,0.0,0.29,0.7,1.0,1.99
P309,08:36:16,Online,0.0,0.0,0.05,0.41,4.3,4.76
P310,08:36:41,Normal,0.0,1.7,0.17,0.05,4.16,6.08
P311,08:36:51,Normal,0.0,4.76,0.05,0.58,1.16,6.55
P312,08:36:53,Normal,1.24,0.76,0.15,0.82,1.99,4.95
P313,08:37:07,Normal,1.26,1.88,0.1,0.92,1.0,5.17
P314,08:37:17,Online,0.0,0.0,0.37,0.58,2.69,3.65
P315,08:37:17,Online,0.0,0.0,0.36,0.28,4.93,5.57
P316,08:37:59,Online,0.0,0.0,0.12,1.26,3.3,4.67
P317,08:38:03,Online,0.0,0.0,0.57,0.46,1.77,2.8
P318,08:39:31,Normal,0.0,0.12,1.17,0.06,1.0,2.35
P319,08:39:47,Normal,0.0,1.76,0.17,0.08,5.41,7.42
P320,08:40:02,Online,0.0,0.0,0.05,0.05,2.9,3.0
P321,08:40:09,Online,0.0,0.0,0.23,0.09,4.67,4.99
P322,08:40:19,Online,0.0,0.0,0.13,0.51,6.63,7.26
P323,08:41:08,Normal,0.0,1.48,0.05,0.05,7.8,9.38
P324,08:41:31,Online,0.0,0.0,0.69,1.48,1.0,3.17
P325,08:41:41,Normal,0.0,0.16,0.16,0.16,1.0,1.48
P326,08:41:45,Online,0.0,0.0,0.16,0.33,1.92,2.41
P327,08:41:50,Online,0.0,0.0,0.22,0.12,1.42,1.77
P328,08:42:19,Online,0.0,0.0,0.05,0.14,2.42,2.61
P329,08:43:01,Online,0.0,0.0,0.33,0.11,10.02,10.47
P330,08:43:09,Normal,0.0,2.22,0.05,0.54,3.73,6.55
P331,08:43:17,Normal,0.0,2.85,0.82,0.26,7.53,11.45
P332,08:43:17,Online,0.0,0.0,0.06,0.16,4.31,4.53
P333,08:43:21,Online,0.0,0.0,0.13,0.58,3.45,4.16
P334,08:43:24,Normal,0.0,1.38,0.43,0.05,3.5,5.36
P335,08:43:24,Online,0.0,0.0,0.25,0.28,1.84,2.37
P336,08:43:41,Online,0.0,0.0,0.05,1.16,3.52,4.73
P337,08:43:43,Online,0.0,0.0,1.19,0.1,2.18,3.46
P338,08:43:45,Online,0.0,0.0,0.05,0.27,10.7,11.02
P339,08:44:27,Normal,0.32,0.19,1.74,0.05,7.64,9.95
P340,08:44:39,Online,0.0,0.0,0.37,0.25,3.85,4.47
P341,08:44:41,Normal,0.28,6.19,1.21,0.29,3.06,11.04
P342,08:45:06,Normal,0.27,2.29,1.99,0.05,3.26,7.87
P343,08:45:09,Normal,0.98,0.64,0.31,0.46,3.37,5.76
P344,08:45:21,Normal,1.42,0.84,1.44,0.05,1.0,4.75
P345,08:45:26,Normal,2.17,0.69,0.56,0.05,1.61,5.09
P346,08:45:30,Online,0.0,0.0,0.66,0.23,10.7,11.59
P347,08:45:42,Online,0.0,0.0,0.46,0.58,2.28,3.31
P348,08:45:46,Online,0.0,0.0,0.18,0.34,1.08,1.6
P349,08:45:58,Online,0.0,0.0,0.28,0.05,3.51,3.84
P350,08:46:05,Online,0.0,0.0,0.51,0.13,22.59,23.23
P351,08:46:50,Online,0.0,0.0,0.4,0.05,18.46,18.91
P352,08:47:03,Normal,0.6,1.06,0.6,0.32,1.97,4.55
P353,08:47:44,Normal,0.58,0.63,3.14,0.3,3.02,7.66
P354,08:47:52,Online,0.0,0.0,0.18,0.63,2.07,2.88
P355,08:47:52,Online,0.0,0.0,0.98,0.56,1.11,2.65
P356,08:48:20,Online,0.0,0.0,0.25,0.28,1.0,1.53
P357,08:48:28,Online,0.0,0.0,0.05,0.16,3.21,3.42
P358,08:48:38,Online,0.0,0.0,0.21,0.37,3.62,4.21
P359,08:48:39,Normal,0.07,2.84,0.56,0.05,6.05,9.57
P360,08:49:30,Normal,0.0,2.59,1.15,0.42,7.33,11.49
P361,08:49:44,Normal,1.42,0.17,0.77,0.1,3.0,5.45
P362,08:50:47,Online,0.0,0.0,0.14,0.38,1.0,1.52
P363,08:51:04,Online,0.0,0.0,1.63,0.54,1.78,3.95
P364,08:51:09,Online,0.0,0.0,0.14,0.7,3.8,4.65
P365,08:51:29,Normal,0.0,4.86,0.16,0.17,3.02,8.2
P366,08:51:35,Online,0.0,0.0,0.43,0.14,8.46,9.03
P367,08:51:41,Online,0.0,0.0,0.16,0.45,19.53,20.14
P368,08:51:59,Online,0.0,0.0,0.31,0.64,6.46,7.4
P369,08:52:09,Online,0.0,0.0,0.41,0.05,3.22,3.68
P370,08:52:15,Normal,0.0,1.51,0.32,0.05,2.78,4.67
P371,08:52:23,Normal,0.0,2.65,0.66,0.19,1.0,4.49
P372,08:52:40,Online,0.0,0.0,1.19,0.61,7.48,9.29
P373,08:52:42,Online,0.0,0.0,0.3,0.51,4.38,5.19
P374,08:52:50,Online,0.0,0.0,0.07,0.4,4.83,5.3
P375,08:53:08,Normal,0.63,1.84,1.54,0.05,8.91,12.97
P376,08:53:38,Normal,1.41,0.86,0.06,0.05,6.71,9.09
P377,08:54:27,Normal,1.16,1.99,1.0,0.33,4.42,8.89
P378,08:54:51,Normal,1.04,5.05,0.49,0.16,1.0,7.74
P379,08:54:52,Online,0.0,0.0,0.64,0.06,5.71,6.42
